id,kod,ad,tip
2918,GSDDE,GSD Denizcilik Gayrimenkul İnşaat Sanayi ve Ticare,Hisse
236,GSDHO,GSD Holding A.Ş.,Hisse
237,GSRAY,Galatasaray Sportif Sınai ve Ticari Yatırımlar Ano,Hisse
238,GUBRF,Gübre Fabrikaları T.A.Ş.,Hisse
74406,GWIND,GALATA WIND ENERJİ,Hisse
80190,GZNMI,GEZİNOMİ SEYAHAT,Hisse
1543,HALKB,Türkiye Halk Bankası A.Ş.,Hisse
2619,HATEK,Hateks Hatay Tekstil İşletmeleri A.Ş.,Hisse
9098,HDFGS,Hedef Girişim Sermayesi Yatırım Ortaklığı Anonim Ş,Hisse
77229,HEDEF,HEDEF HOLDİNG,Hisse
245,HEKTS,Hektaş Ticaret T.A.Ş.,Hisse
84539,HKTM,HİDROPAR TEKNOLOJİ,Hisse
5797,HLGYO,Halk Gayrimenkul Yatırım Ortaklığı A.Ş.,Hisse
80033,HTTBT,HİTİT BİLGİSAYAR,Hisse
57032,HUBVC,HUB GIRISIM SERMAYESI,Hisse
79540,HUNER,HUN ENERJİ,Hisse
252,HURGZ,Hurriyet Gazetecilik Ve Matbaacılık A.Ş.,Hisse
525,ICBCT,ICBC Turkey Bank A.Ş.,Hisse
61062,IDEAS,İDEALİST DANIŞMANLIK A.Ş.,Hisse
2223,IDGYO,İdealist Gayrimenkul Yatırım Ortaklığı A.Ş.,Hisse
355,IEYHO,Işıklar Enerji Ve Yapı Holding Anonim Şirketi,Hisse
77447,IHAAS,İHLAS HABER AJANSI,Hisse
258,IHEVA,İhlas Ev Aletleri İmalat Sanayi Ve Ticaret A.Ş.,Hisse
2216,IHGZT,İhlas Gazetecilik A.Ş.,Hisse
261,IHLAS,İhlas Holding A.Ş.,Hisse
394,IHLGM,İhlas Gayrimenkul Proje Geliştirme ve Ticaret A.Ş.,Hisse
2315,IHYAY,İhlas Yayın Holding A.Ş.,Hisse
81091,IMASM,İMAŞ MAKİNE,Hisse
919,INDES,Indeks Bilgisayar Sistemleri Mühendislik San. Ve T,Hisse
2933,INFO,İnfo Yatırım Menkul Değerler A.Ş.,Hisse
267,INTEM,İntema İnşaat Ve Tesisat Malz.Yat.Ve Paz.A.Ş.,Hisse
71676,INVEO,INVEO YATIRIM HOLDİNG A.Ş.,Hisse
80031,INVES,INVESTCO HOLDİNG,Hisse
269,IPEKE,İpek Doğal Enerji Kaynakları Araştırma ve Üretim A,Hisse
272,ISATR,Türkiye İş Bankası A.Ş.,Hisse
4208,ISBIR,İşbir Holding A.Ş.,Hisse
274,ISBTR,Türkiye İş Bankası A.Ş.,Hisse
275,ISCTR,Türkiye İş Bankası A.Ş.,Hisse
9334,ISDMR,İskenderun Demir ve Çelik A.Ş.,Hisse
276,ISFIN,İş Finansal Kiralama A.Ş.,Hisse
989,ISGSY,İş Girişim Sermayesi Yatırım Ortaklığı A.Ş.,Hisse
277,ISGYO,İş Gayrimenkul Yatırım Ortaklığı A.Ş.,Hisse
73052,ISKPL,ISIKLAR PLASTIK,Hisse
73051,ISKPLHE,IŞIK PLASTİK,Hisse
278,ISKUR,Türkiye İş Bankası A.Ş.,Hisse
1546,ISMEN,İş Yatırım Menkul Değerler A.Ş.,Hisse
77523,ISSEN,İŞBİR DOKUMA,Hisse
280,ISYAT,İş Yatırım Ortaklığı A.Ş.,Hisse
2147,ITTFH,İttifak Holding A.Ş.,Hisse
9009,IZFAS,İzmir Fırça San. Ve Tic. A.Ş.,Hisse
81610,IZINV,IZ YATIRIM HOLDING,Hisse
286,IZMDC,İzmir Demir Çelik Sanayi A.Ş.,Hisse
4078,JANTS,Jantsa Jant Sanayi ve Ticaret A.Ş.,Hisse
303,KAPLM,Kaplamın Ambalaj Sanayi Ve Ticaret A.Ş.,Hisse
1484,KAREL,Karel Elektronik Sanayi ve Ticaret A.Ş.,Hisse
304,KARSN,Karsan Otomotiv Sanayii Ve Ticaret A.Ş.,Hisse
305,KARTN,Kartonsan Karton Sanayı Ve Ticaret A.Ş.,Hisse
75682,KARYE,KARTAL ENERJİ,Hisse
2334,KATMR,Katmerciler Araç Üstü Ekipman Sanayi ve Ticaret A.,Hisse
83110,KCAER,KOCAER ÇELİK,Hisse
307,KCHOL,Koç Holding A.Ş.,Hisse
308,KENT,Kent Gıda Maddelerı Sanayii Ve Ticaret A.Ş.,Hisse
100,KERVN,Kervansaray Yatırım Holding A.Ş.,Hisse
309,KERVT,Kerevitaş Gıda Sanayi Ve Ticaret A.Ş.,Hisse
56589,KFEIN,KAFEIN YAZILIM C,Hisse
75676,KGYO,KORAY GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş,Hisse
76895,KIMMR,ERSAN GIDA,Hisse
2588,KLGYO,Kiler Gayrimenkul Yatırım Ortaklığı A.Ş.,Hisse
74863,KLKIM,KALEKİM TİC. A.Ş.,Hisse
313,KLMSN,Klimasan Klima Sanayi Ve Ticaret A.Ş.,Hisse
529,KLNMA,T.Kalkınma Bankası A.Ş.,Hisse
83112,KLRHO,KİLER HOLDİNG,Hisse
80032,KLSYN,KOLEKSİYON MOBİLYA,Hisse
78416,KMPUR,KİMTEKS POLİÜRETAN,Hisse
314,KNFRT,Konfrut Gıda Sanayi Ve Ticaret A.Ş.,Hisse
77742,KONKA,KONYA KAĞIT,Hisse
71892,KONTR,KONTROLMATİK  TEKNOLOJİ,Hisse
316,KONYA,Konya Çimento Sanayii A.Ş.,Hisse
317,KORDS,Kordsa Global Endüstriyel İplik ve Kord Bezi San. ,Hisse
319,KOZAA,Koza Anadolu Metal Madencilik İşletmeleri A.Ş.,Hisse
2177,KOZAL,Koza Altın İşletmeleri A.Ş.,Hisse
320,KRDMA,Kardemir Karabük Demir Çelik Sanayi Ve Ticaret A.Ş,Hisse
321,KRDMB,Kardemir Karabük Demir Çelik Sanayi Ve Ticaret A.Ş,Hisse
322,KRDMD,Kardemir Karabük Demir Çelik Sanayi Ve Ticaret A.Ş,Hisse
8993,KRGYO,Körfez Gayrimenkul Yatırım Ortaklığı  A.Ş.,Hisse
2649,KRONT,Kron Telekomünikasyon Hizmetleri A.Ş.,Hisse
83175,KRPLS,KOROPLAST,Hisse
323,KRSTL,Krıstal Kola Ve Meşrubat Sanayi Ticaret A.Ş.,Hisse
324,KRTEK,Karsu Tekstil Sanayii Ve Ticaret A.Ş.,Hisse
72521,KRVGD,KERVAN GIDA,Hisse
4209,KSTUR,Kuştur Kuşadası Turizm Endüstrisi A.Ş.,Hisse
75684,KTSKR,KÜTAHYA ŞEKER,Hisse
75614,KTSKRHE,KUTAHYA SEKER,Hisse
327,KUTPO,Kutahya Porselen Sanayii A.Ş.,Hisse
84896,KUVVA,KUVVA GIDA,Hisse
4086,KUYAS,Kuyumcukent Gayrimenkul Yatırımları A.Ş.,Hisse
75933,KZBGY,KIZILBÜK GYO,Hisse
80411,LIDER,LDR TURİZM,Hisse
